DNA_number	Protein_name	Score	Col_3	Col_4	Col_5	Col_6	Col_7	Col_8	Col_9	Col_10	Col_11
sample_100059	sp|C4ZRI5|MURG_ECOBW	100.0	49	0	0	2	148	140	188	1.1700000000000001e-27	99.8
sample_100106	sp|Q8FL64|MURG_ECOL6	100.0	49	0	0	3	149	156	204	3.0500000000000003e-27	98.6
sample_100106	sp|Q0TLP9|MURG_ECOL5	100.0	49	0	0	3	149	156	204	3.0500000000000003e-27	98.6
sample_100106	sp|B7MNU9|MURG_ECO81	100.0	49	0	0	3	149	156	204	3.0500000000000003e-27	98.6
sample_100106	sp|B7NHJ6|MURG_ECO7I	100.0	49	0	0	3	149	156	204	3.0500000000000003e-27	98.6
sample_100106	sp|B7UIE0|MURG_ECO27	100.0	49	0	0	3	149	156	204	3.0500000000000003e-27	98.6
sample_100106	sp|Q1RGA5|MURG_ECOUT	100.0	49	0	0	3	149	156	204	3.3200000000000005e-27	98.6
sample_100106	sp|A1A7D5|MURG_ECOK1	100.0	49	0	0	3	149	156	204	3.3200000000000005e-27	98.6
sample_100106	sp|B7MAL3|MURG_ECO45	100.0	49	0	0	3	149	156	204	3.3200000000000005e-27	98.6
sample_100106	sp|B5YZC6|MURG_ECO5E	100.0	49	0	0	3	149	156	204	3.5e-27	98.6
sample_100106	sp|Q8X9Y8|MURG_ECO57	100.0	49	0	0	3	149	156	204	3.5e-27	98.6
sample_100106	sp|B7LFW0|MURG_ECO55	100.0	49	0	0	3	149	156	204	3.5700000000000005e-27	98.6
sample_100106	sp|B1LG27|MURG_ECOSM	100.0	49	0	0	3	149	156	204	3.7600000000000004e-27	98.6
sample_100106	sp|B6HZ67|MURG_ECOSE	100.0	49	0	0	3	149	156	204	3.7600000000000004e-27	98.6
sample_100106	sp|B7N7W3|MURG_ECOLU	100.0	49	0	0	3	149	156	204	3.7600000000000004e-27	98.6
sample_100106	sp|P17443|MURG_ECOLI	100.0	49	0	0	3	149	156	204	3.7600000000000004e-27	98.6
sample_100106	sp|B1IR88|MURG_ECOLC	100.0	49	0	0	3	149	156	204	3.7600000000000004e-27	98.6
sample_100106	sp|B1XC67|MURG_ECODH	100.0	49	0	0	3	149	156	204	3.7600000000000004e-27	98.6
sample_100106	sp|C4ZRI5|MURG_ECOBW	100.0	49	0	0	3	149	156	204	3.7600000000000004e-27	98.6
sample_100106	sp|B7M133|MURG_ECO8A	100.0	49	0	0	3	149	156	204	3.7600000000000004e-27	98.6
sample_100106	sp|A7ZHI1|MURG_ECO24	100.0	49	0	0	3	149	156	204	3.7600000000000004e-27	98.6
sample_1001603	sp|P75857|ELFC_ECOLI	100.0	50	0	0	1	150	797	846	5.9899999999999995e-30	108.0
sample_1001762	sp|Q8XDC9|ELFG_ECO57	100.0	35	0	0	45	149	1	35	1.53e-20	80.5
sample_1001762	sp|P75858|ELFG_ECOLI	100.0	35	0	0	45	149	1	35	1.93e-20	80.5
sample_1001762	sp|P75857|ELFC_ECOLI	100.0	17	0	0	1	51	850	866	4.86e-06	40.0
sample_1001762	sp|Q8XDD1|ELFC_ECO57	100.0	17	0	0	1	51	850	866	4.86e-06	40.0
sample_1002476	sp|P75858|ELFG_ECOLI	100.0	49	0	0	3	149	225	273	3.82e-28	101.0
sample_1002476	sp|Q8XDC9|ELFG_ECO57	100.0	49	0	0	3	149	225	273	4.24e-28	100.0
sample_1003853	sp|P75860|YCBV_ECOLI	100.0	32	0	0	3	98	140	171	2.97e-17	69.3
sample_1004109	sp|P40876|YCBF_ECOLI	100.0	21	0	0	3	65	56	76	1.88e-08	47.0
sample_1004757	sp|B6I919|PYRD_ECOSE	100.0	46	0	0	11	148	1	46	2.54e-29	103.0
sample_1004757	sp|P0A7E1|PYRD_ECOLI	100.0	46	0	0	11	148	1	46	2.54e-29	103.0
sample_1004757	sp|B1IVY7|PYRD_ECOLC	100.0	46	0	0	11	148	1	46	2.54e-29	103.0
sample_1004757	sp|A7ZYP7|PYRD_ECOHS	100.0	46	0	0	11	148	1	46	2.54e-29	103.0
sample_1004757	sp|B1X8P9|PYRD_ECODH	100.0	46	0	0	11	148	1	46	2.54e-29	103.0
sample_1004757	sp|C4ZQ71|PYRD_ECOBW	100.0	46	0	0	11	148	1	46	2.54e-29	103.0
sample_1004757	sp|B7M874|PYRD_ECO8A	100.0	46	0	0	11	148	1	46	2.54e-29	103.0
sample_1004757	sp|B5YT76|PYRD_ECO5E	100.0	46	0	0	11	148	1	46	2.54e-29	103.0
sample_1004757	sp|P0A7E2|PYRD_ECO57	100.0	46	0	0	11	148	1	46	2.54e-29	103.0
sample_1004757	sp|B7LE45|PYRD_ECO55	100.0	46	0	0	11	148	1	46	2.54e-29	103.0
sample_1004757	sp|A7ZK49|PYRD_ECO24	100.0	46	0	0	11	148	1	46	2.54e-29	103.0
sample_1004757	sp|Q1RDR9|PYRD_ECOUT	100.0	46	0	0	11	148	1	46	3.3e-29	103.0
sample_1004757	sp|Q8FJ91|PYRD_ECOL6	100.0	46	0	0	11	148	1	46	3.3e-29	103.0
sample_1004757	sp|Q0TJB6|PYRD_ECOL5	100.0	46	0	0	11	148	1	46	3.3e-29	103.0
sample_1004757	sp|A1A9L5|PYRD_ECOK1	100.0	46	0	0	11	148	1	46	3.3e-29	103.0
sample_1004757	sp|B7MS56|PYRD_ECO81	100.0	46	0	0	11	148	1	46	3.3e-29	103.0
sample_1004757	sp|B7MHP7|PYRD_ECO45	100.0	46	0	0	11	148	1	46	3.3e-29	103.0
sample_1004757	sp|B7UN24|PYRD_ECO27	100.0	46	0	0	11	148	1	46	3.3e-29	103.0
sample_1004757	sp|B1LJR7|PYRD_ECOSM	100.0	46	0	0	11	148	1	46	3.33e-29	103.0
sample_1004757	sp|B7N3A7|PYRD_ECOLU	100.0	46	0	0	11	148	1	46	3.33e-29	103.0
sample_1004757	sp|B7NM29|PYRD_ECO7I	100.0	46	0	0	11	148	1	46	3.33e-29	103.0
sample_1006503	sp|P75863|YCBX_ECOLI	100.0	49	0	0	149	3	317	365	2.06e-31	110.0
sample_1006929	sp|P75863|YCBX_ECOLI	100.0	49	0	0	149	3	175	223	1.9000000000000002e-29	104.0
sample_1007128	sp|P75863|YCBX_ECOLI	100.0	49	0	0	148	2	109	157	1.73e-31	110.0
sample_1007339	sp|P75863|YCBX_ECOLI	100.0	50	0	0	150	1	38	87	3.29e-30	107.0
sample_1007638	sp|P23878|FEPC_ECOLI	42.308	26	13	1	50	121	30	55	8.2	22.7
sample_1008129	sp|A7ZK52|RLMKL_ECO24	100.0	49	0	0	3	149	97	145	1.48e-29	107.0
sample_1008129	sp|Q1RDR6|RLMKL_ECOUT	100.0	49	0	0	3	149	97	145	1.61e-29	106.0
sample_1008129	sp|B1LJR4|RLMKL_ECOSM	100.0	49	0	0	3	149	97	145	1.61e-29	106.0
sample_1008129	sp|P75864|RLMKL_ECOLI	100.0	49	0	0	3	149	97	145	1.61e-29	106.0
sample_1008129	sp|B1IVY4|RLMKL_ECOLC	100.0	49	0	0	3	149	97	145	1.61e-29	106.0
sample_1008129	sp|Q0TJB3|RLMKL_ECOL5	100.0	49	0	0	3	149	97	145	1.61e-29	106.0
sample_1008129	sp|A1A9L8|RLMKL_ECOK1	100.0	49	0	0	3	149	97	145	1.61e-29	106.0
sample_1008129	sp|A7ZYQ0|RLMKL_ECOHS	100.0	49	0	0	3	149	97	145	1.61e-29	106.0
sample_1008129	sp|B1X8Q2|RLMKL_ECODH	100.0	49	0	0	3	149	97	145	1.61e-29	106.0
sample_1008129	sp|B5YT79|RLMKL_ECO5E	100.0	49	0	0	3	149	97	145	1.61e-29	106.0
sample_1008129	sp|Q8XDB2|RLMKL_ECO57	100.0	49	0	0	3	149	97	145	1.61e-29	106.0
sample_1008129	sp|Q8FJ88|RLMKL_ECOL6	100.0	49	0	0	3	149	97	145	1.63e-29	106.0
sample_1008198	sp|A7ZK52|RLMKL_ECO24	100.0	49	0	0	3	149	120	168	8.600000000000001e-29	104.0
sample_1008198	sp|Q1RDR6|RLMKL_ECOUT	100.0	49	0	0	3	149	120	168	9.39e-29	104.0
sample_1008198	sp|B1LJR4|RLMKL_ECOSM	100.0	49	0	0	3	149	120	168	9.39e-29	104.0
sample_1008198	sp|A1A9L8|RLMKL_ECOK1	100.0	49	0	0	3	149	120	168	9.39e-29	104.0
sample_1008198	sp|B5YT79|RLMKL_ECO5E	100.0	49	0	0	3	149	120	168	9.39e-29	104.0
sample_1008198	sp|Q8XDB2|RLMKL_ECO57	100.0	49	0	0	3	149	120	168	9.39e-29	104.0
sample_1008198	sp|P75864|RLMKL_ECOLI	100.0	49	0	0	3	149	120	168	9.57e-29	104.0
sample_1008198	sp|B1IVY4|RLMKL_ECOLC	100.0	49	0	0	3	149	120	168	9.57e-29	104.0
sample_1008198	sp|Q8FJ88|RLMKL_ECOL6	100.0	49	0	0	3	149	120	168	9.57e-29	104.0
sample_1008198	sp|Q0TJB3|RLMKL_ECOL5	100.0	49	0	0	3	149	120	168	9.57e-29	104.0
sample_1008198	sp|A7ZYQ0|RLMKL_ECOHS	100.0	49	0	0	3	149	120	168	9.57e-29	104.0
sample_1008198	sp|B1X8Q2|RLMKL_ECODH	100.0	49	0	0	3	149	120	168	9.57e-29	104.0
sample_1008505	sp|A7ZK52|RLMKL_ECO24	100.0	49	0	0	2	148	222	270	3.34e-29	105.0
sample_1008505	sp|P75864|RLMKL_ECOLI	100.0	49	0	0	2	148	222	270	3.95e-29	105.0
sample_1008505	sp|B1IVY4|RLMKL_ECOLC	100.0	49	0	0	2	148	222	270	3.95e-29	105.0
sample_1008505	sp|A7ZYQ0|RLMKL_ECOHS	100.0	49	0	0	2	148	222	270	3.95e-29	105.0
sample_1008505	sp|B1X8Q2|RLMKL_ECODH	100.0	49	0	0	2	148	222	270	3.95e-29	105.0
sample_1008505	sp|B5YT79|RLMKL_ECO5E	100.0	49	0	0	2	148	222	270	4.0600000000000003e-29	105.0
sample_1008505	sp|Q8XDB2|RLMKL_ECO57	100.0	49	0	0	2	148	222	270	4.0600000000000003e-29	105.0
sample_1008505	sp|B1LJR4|RLMKL_ECOSM	100.0	49	0	0	2	148	222	270	4.1800000000000003e-29	105.0
sample_1011166	sp|P43672|UUP_ECOLI	100.0	50	0	0	1	150	402	451	1.1100000000000001e-29	107.0
sample_1011507	sp|P43672|UUP_ECOLI	100.0	49	0	0	2	148	516	564	8.18e-14	62.0
sample_1012485	sp|P0AFL9|PQIA_ECOLI	100.0	49	0	0	2	148	163	211	2.78e-30	107.0
sample_1012485	sp|P0AFM0|PQIA_ECOL6	100.0	49	0	0	2	148	163	211	2.78e-30	107.0
sample_1012528	sp|P0AFL9|PQIA_ECOLI	100.0	50	0	0	1	150	177	226	3.29e-31	110.0
sample_1012528	sp|P0AFM0|PQIA_ECOL6	100.0	50	0	0	1	150	177	226	3.29e-31	110.0
sample_1012568	sp|P0AFL9|PQIA_ECOLI	100.0	49	0	0	3	149	191	239	3.52e-30	107.0
sample_1012568	sp|P0AFM0|PQIA_ECOL6	100.0	49	0	0	3	149	191	239	3.52e-30	107.0
sample_1012634	sp|P0AFL9|PQIA_ECOLI	100.0	49	0	0	3	149	213	261	3.12e-29	104.0
sample_1012634	sp|P0AFM0|PQIA_ECOL6	100.0	49	0	0	3	149	213	261	3.12e-29	104.0
sample_1012999	sp|P0AFL9|PQIA_ECOLI	100.0	50	0	0	1	150	334	383	9.960000000000001e-29	103.0
sample_1012999	sp|P0AFM0|PQIA_ECOL6	100.0	50	0	0	1	150	334	383	9.960000000000001e-29	103.0
sample_1013022	sp|P0AFL9|PQIA_ECOLI	100.0	49	0	0	2	148	342	390	2.19e-26	97.1
sample_1013022	sp|P0AFM0|PQIA_ECOL6	100.0	49	0	0	2	148	342	390	2.19e-26	97.1
sample_1013384	sp|P43671|PQIB_ECOLI	100.0	50	0	0	1	150	43	92	3.67e-26	97.1
sample_1014175	sp|P43671|PQIB_ECOLI	100.0	49	0	0	2	148	307	355	4.4600000000000004e-29	105.0
sample_1014259	sp|P43671|PQIB_ECOLI	100.0	49	0	0	2	148	335	383	4.2600000000000004e-27	99.8
sample_1014329	sp|P43671|PQIB_ECOLI	100.0	50	0	0	1	150	358	407	8.7e-30	107.0
sample_1014936	sp|P0AB10|PQIC_ECOLI	100.0	49	0	0	2	148	15	63	7.389999999999999e-30	102.0
sample_1017560	sp|P75867|LONH_ECOLI	100.0	49	0	0	148	2	198	246	1.9700000000000002e-26	97.8
sample_1017865	sp|P75867|LONH_ECOLI	100.0	49	0	0	149	3	96	144	5.62e-29	105.0
sample_1019268	sp|P0A910|OMPA_ECOLI	100.0	49	0	0	149	3	213	261	1.38e-28	102.0
sample_1019268	sp|P0A911|OMPA_ECO57	100.0	49	0	0	149	3	213	261	1.38e-28	102.0
sample_10198	sp|P0AC98|SATP_ECOLI	100.0	49	0	0	149	3	50	98	4.21e-29	100.0
sample_10198	sp|P0AC99|SATP_ECO57	100.0	49	0	0	149	3	50	98	4.21e-29	100.0
sample_1019970	sp|A7ZML3|ASTB_ECO24	53.846	13	6	0	18	56	19	31	8.6	22.7
sample_1020993	sp|P42615|MZRA_ECOLI	71.429	14	4	0	147	106	62	75	4.5	23.5
sample_1021062	sp|P75869|SXY_ECOLI	100.0	25	0	0	76	150	1	25	2.23e-10	52.0
sample_1021251	sp|P75869|SXY_ECOLI	100.0	50	0	0	1	150	39	88	5.2400000000000005e-33	110.0
sample_1021406	sp|P75869|SXY_ECOLI	100.0	49	0	0	2	148	91	139	4.61e-29	100.0
sample_1021699	sp|P75870|YCCS_ECOLI	100.0	39	0	0	150	34	679	717	1.33e-19	78.6
sample_1021699	sp|P75869|SXY_ECOLI	100.0	21	0	0	3	65	189	209	4.05e-08	45.8
sample_1022101	sp|P75870|YCCS_ECOLI	100.0	50	0	0	150	1	545	594	8.83e-29	104.0
sample_1022300	sp|P75870|YCCS_ECOLI	100.0	49	0	0	149	3	479	527	7.26e-28	102.0
sample_1022336	sp|P75870|YCCS_ECOLI	100.0	49	0	0	149	3	467	515	1.21e-26	98.6
sample_1023939	sp|P0AB12|YCCF_ECOLI	100.0	49	0	0	148	2	88	136	1.9000000000000002e-29	99.8
sample_1024703	sp|P15038|HELD_ECOLI	100.0	49	0	0	2	148	79	127	2.93e-29	105.0
sample_1024814	sp|P15038|HELD_ECOLI	100.0	49	0	0	2	148	116	164	4.6800000000000004e-29	105.0
sample_1025238	sp|P15038|HELD_ECOLI	100.0	50	0	0	1	150	257	306	1.44e-28	103.0
sample_1025281	sp|P15038|HELD_ECOLI	100.0	49	0	0	3	149	272	320	4.85e-28	102.0
sample_1025291	sp|P15038|HELD_ECOLI	100.0	49	0	0	2	148	275	323	8.3e-28	102.0
sample_1025423	sp|P15038|HELD_ECOLI	100.0	49	0	0	2	148	319	367	2.69e-29	106.0
sample_1025579	sp|P15038|HELD_ECOLI	100.0	49	0	0	2	148	371	419	7.79e-27	99.4
sample_1026449	sp|P15038|HELD_ECOLI	100.0	24	0	0	2	73	661	684	1.06e-11	56.2
sample_1026449	sp|Q8FJ74|MGSA_ECOL6	100.0	13	0	0	149	111	140	152	0.002	32.3
sample_1026449	sp|B7MS74|MGSA_ECO81	100.0	13	0	0	149	111	140	152	0.002	32.3
sample_1026449	sp|B7MIB7|MGSA_ECO45	100.0	13	0	0	149	111	140	152	0.002	32.3
sample_1026449	sp|B7UN42|MGSA_ECO27	100.0	13	0	0	149	111	140	152	0.002	32.3
sample_1026449	sp|B1LJ35|MGSA_ECOSM	100.0	13	0	0	149	111	140	152	0.002	32.3
sample_1026449	sp|B6I938|MGSA_ECOSE	100.0	13	0	0	149	111	140	152	0.002	32.3
sample_1026449	sp|P0A731|MGSA_ECOLI	100.0	13	0	0	149	111	140	152	0.002	32.3
sample_1026449	sp|B1IVW9|MGSA_ECOLC	100.0	13	0	0	149	111	140	152	0.002	32.3
sample_1026449	sp|A7ZYR5|MGSA_ECOHS	100.0	13	0	0	149	111	140	152	0.002	32.3
sample_1026449	sp|B1X8R7|MGSA_ECODH	100.0	13	0	0	149	111	140	152	0.002	32.3
sample_1026449	sp|C4ZQ89|MGSA_ECOBW	100.0	13	0	0	149	111	140	152	0.002	32.3
sample_1026449	sp|B7M892|MGSA_ECO8A	100.0	13	0	0	149	111	140	152	0.002	32.3
sample_1026449	sp|B7NLF4|MGSA_ECO7I	100.0	13	0	0	149	111	140	152	0.002	32.3
sample_1026449	sp|B5YT93|MGSA_ECO5E	100.0	13	0	0	149	111	140	152	0.002	32.3
sample_1026449	sp|P0A732|MGSA_ECO57	100.0	13	0	0	149	111	140	152	0.002	32.3
sample_1026449	sp|A7ZK67|MGSA_ECO24	100.0	13	0	0	149	111	140	152	0.002	32.3
sample_1026449	sp|B7LE63|MGSA_ECO55	100.0	13	0	0	149	111	140	152	0.003	32.3
sample_1026449	sp|B7N3C6|MGSA_ECOLU	100.0	13	0	0	149	111	140	152	0.003	32.3
sample_1026510	sp|B7N3C6|MGSA_ECOLU	100.0	33	0	0	148	50	120	152	6.41e-18	70.5
sample_1026510	sp|Q8FJ74|MGSA_ECOL6	100.0	33	0	0	148	50	120	152	6.41e-18	70.5
sample_1026510	sp|B7MS74|MGSA_ECO81	100.0	33	0	0	148	50	120	152	6.41e-18	70.5
sample_1026510	sp|B7MIB7|MGSA_ECO45	100.0	33	0	0	148	50	120	152	6.41e-18	70.5
sample_1026510	sp|B7UN42|MGSA_ECO27	100.0	33	0	0	148	50	120	152	6.41e-18	70.5
sample_1026510	sp|B1LJ35|MGSA_ECOSM	100.0	33	0	0	148	50	120	152	6.62e-18	70.5
sample_1026510	sp|B6I938|MGSA_ECOSE	100.0	33	0	0	148	50	120	152	6.62e-18	70.5
sample_1026510	sp|P0A731|MGSA_ECOLI	100.0	33	0	0	148	50	120	152	6.62e-18	70.5
sample_1026510	sp|B1IVW9|MGSA_ECOLC	100.0	33	0	0	148	50	120	152	6.62e-18	70.5
sample_1026510	sp|A7ZYR5|MGSA_ECOHS	100.0	33	0	0	148	50	120	152	6.62e-18	70.5
sample_1026510	sp|B1X8R7|MGSA_ECODH	100.0	33	0	0	148	50	120	152	6.62e-18	70.5
sample_1026510	sp|C4ZQ89|MGSA_ECOBW	100.0	33	0	0	148	50	120	152	6.62e-18	70.5
sample_1026510	sp|B7M892|MGSA_ECO8A	100.0	33	0	0	148	50	120	152	6.62e-18	70.5
sample_1026510	sp|B7NLF4|MGSA_ECO7I	100.0	33	0	0	148	50	120	152	6.62e-18	70.5
sample_1026510	sp|B5YT93|MGSA_ECO5E	100.0	33	0	0	148	50	120	152	6.62e-18	70.5
sample_1026510	sp|P0A732|MGSA_ECO57	100.0	33	0	0	148	50	120	152	6.62e-18	70.5
sample_1026510	sp|A7ZK67|MGSA_ECO24	100.0	33	0	0	148	50	120	152	6.62e-18	70.5
sample_1026510	sp|B7LE63|MGSA_ECO55	100.0	33	0	0	148	50	120	152	6.92e-18	70.5
sample_1026630	sp|Q8FJ74|MGSA_ECOL6	100.0	49	0	0	148	2	80	128	3.04e-30	102.0
sample_1026630	sp|B7MS74|MGSA_ECO81	100.0	49	0	0	148	2	80	128	3.04e-30	102.0
sample_1026630	sp|B7MIB7|MGSA_ECO45	100.0	49	0	0	148	2	80	128	3.04e-30	102.0
sample_1026630	sp|B7UN42|MGSA_ECO27	100.0	49	0	0	148	2	80	128	3.04e-30	102.0
sample_1026630	sp|B7N3C6|MGSA_ECOLU	100.0	49	0	0	148	2	80	128	3.11e-30	102.0
sample_1026630	sp|B7LE63|MGSA_ECO55	100.0	49	0	0	148	2	80	128	3.43e-30	101.0
sample_1026630	sp|B1LJ35|MGSA_ECOSM	100.0	49	0	0	148	2	80	128	3.47e-30	101.0
sample_1026630	sp|B6I938|MGSA_ECOSE	100.0	49	0	0	148	2	80	128	3.47e-30	101.0
sample_1026630	sp|P0A731|MGSA_ECOLI	100.0	49	0	0	148	2	80	128	3.47e-30	101.0
sample_1026630	sp|B1IVW9|MGSA_ECOLC	100.0	49	0	0	148	2	80	128	3.47e-30	101.0
sample_1026630	sp|A7ZYR5|MGSA_ECOHS	100.0	49	0	0	148	2	80	128	3.47e-30	101.0
sample_1026630	sp|B1X8R7|MGSA_ECODH	100.0	49	0	0	148	2	80	128	3.47e-30	101.0
sample_1026630	sp|C4ZQ89|MGSA_ECOBW	100.0	49	0	0	148	2	80	128	3.47e-30	101.0
sample_1026630	sp|B7M892|MGSA_ECO8A	100.0	49	0	0	148	2	80	128	3.47e-30	101.0
sample_1026630	sp|B7NLF4|MGSA_ECO7I	100.0	49	0	0	148	2	80	128	3.47e-30	101.0
sample_1026630	sp|B5YT93|MGSA_ECO5E	100.0	49	0	0	148	2	80	128	3.47e-30	101.0
sample_1026630	sp|P0A732|MGSA_ECO57	100.0	49	0	0	148	2	80	128	3.47e-30	101.0
sample_1026630	sp|A7ZK67|MGSA_ECO24	100.0	49	0	0	148	2	80	128	3.47e-30	101.0
sample_1026701	sp|B1LJ35|MGSA_ECOSM	100.0	49	0	0	149	3	56	104	4.6000000000000006e-31	103.0
sample_1026701	sp|B6I938|MGSA_ECOSE	100.0	49	0	0	149	3	56	104	4.6000000000000006e-31	103.0
sample_1026701	sp|P0A731|MGSA_ECOLI	100.0	49	0	0	149	3	56	104	4.6000000000000006e-31	103.0
sample_1026701	sp|B1IVW9|MGSA_ECOLC	100.0	49	0	0	149	3	56	104	4.6000000000000006e-31	103.0
sample_1026701	sp|A7ZYR5|MGSA_ECOHS	100.0	49	0	0	149	3	56	104	4.6000000000000006e-31	103.0
sample_1026701	sp|B1X8R7|MGSA_ECODH	100.0	49	0	0	149	3	56	104	4.6000000000000006e-31	103.0
sample_1026701	sp|C4ZQ89|MGSA_ECOBW	100.0	49	0	0	149	3	56	104	4.6000000000000006e-31	103.0
sample_1026701	sp|B7M892|MGSA_ECO8A	100.0	49	0	0	149	3	56	104	4.6000000000000006e-31	103.0
sample_1026701	sp|B7NLF4|MGSA_ECO7I	100.0	49	0	0	149	3	56	104	4.6000000000000006e-31	103.0
sample_1026701	sp|B5YT93|MGSA_ECO5E	100.0	49	0	0	149	3	56	104	4.6000000000000006e-31	103.0
sample_1026701	sp|P0A732|MGSA_ECO57	100.0	49	0	0	149	3	56	104	4.6000000000000006e-31	103.0
sample_1026701	sp|A7ZK67|MGSA_ECO24	100.0	49	0	0	149	3	56	104	4.6000000000000006e-31	103.0
sample_1026701	sp|Q8FJ74|MGSA_ECOL6	100.0	49	0	0	149	3	56	104	4.65e-31	103.0
sample_1026701	sp|B7MS74|MGSA_ECO81	100.0	49	0	0	149	3	56	104	4.65e-31	103.0
sample_1026701	sp|B7MIB7|MGSA_ECO45	100.0	49	0	0	149	3	56	104	4.65e-31	103.0
sample_1026701	sp|B7UN42|MGSA_ECO27	100.0	49	0	0	149	3	56	104	4.65e-31	103.0
sample_1028173	sp|P75874|YCCU_ECOLI	100.0	50	0	0	1	150	77	126	1.13e-31	105.0
sample_1029103	sp|B1LJ30|RLMI_ECOSM	100.0	49	0	0	149	3	240	288	5.45e-28	101.0
sample_1029103	sp|B6I942|RLMI_ECOSE	100.0	49	0	0	149	3	240	288	5.79e-28	101.0
sample_1029103	sp|P75876|RLMI_ECOLI	100.0	49	0	0	149	3	240	288	5.79e-28	101.0
sample_1029103	sp|B1IVW5|RLMI_ECOLC	100.0	49	0	0	149	3	240	288	5.79e-28	101.0
sample_1029103	sp|A7ZYR9|RLMI_ECOHS	100.0	49	0	0	149	3	240	288	5.79e-28	101.0
sample_1029103	sp|B1X8S1|RLMI_ECODH	100.0	49	0	0	149	3	240	288	5.79e-28	101.0
sample_1029103	sp|C4ZQ93|RLMI_ECOBW	100.0	49	0	0	149	3	240	288	5.79e-28	101.0
sample_1029103	sp|B5YT98|RLMI_ECO5E	100.0	49	0	0	149	3	240	288	5.91e-28	101.0
sample_1029103	sp|Q8XD85|RLMI_ECO57	100.0	49	0	0	149	3	240	288	5.91e-28	101.0
sample_1029103	sp|A7ZK71|RLMI_ECO24	100.0	49	0	0	149	3	240	288	5.91e-28	101.0
sample_1029942	sp|P0AB65|ACYP_ECOLI	100.0	9	0	0	122	148	1	9	2.3	23.9
sample_1029942	sp|P0AB66|ACYP_ECO57	100.0	9	0	0	122	148	1	9	2.3	23.9
sample_1029942	sp|Q8FJ70|ACYP_ECOL6	100.0	9	0	0	122	148	1	9	2.3	23.9
sample_1029942	sp|A1A9N7|ACYP_ECOK1	100.0	9	0	0	122	148	1	9	2.4	23.9
sample_1030099	sp|P0AB65|ACYP_ECOLI	100.0	50	0	0	1	150	13	62	8.77e-32	103.0
sample_1030099	sp|P0AB66|ACYP_ECO57	100.0	50	0	0	1	150	13	62	8.77e-32	103.0
sample_1030334	sp|P0AB18|TUSE_ECOLI	100.0	47	0	0	148	8	63	109	1.64e-29	99.0
sample_1030334	sp|Q8XD82|TUSE_ECO57	100.0	47	0	0	148	8	63	109	1.64e-29	99.0
sample_1030334	sp|Q8FJ69|TUSE_ECOL6	100.0	47	0	0	148	8	63	109	1.8100000000000002e-29	98.6
sample_1030584	sp|Q8FJ69|TUSE_ECOL6	100.0	28	0	0	84	1	1	28	2.61e-14	60.5
sample_1030584	sp|P0AB18|TUSE_ECOLI	100.0	28	0	0	84	1	1	28	2.69e-14	60.5
